TripType,VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber
21,15,Friday,2899521885,1,FABRICS AND CRAFTS,1056
21,15,Friday,2899521479,1,FABRICS AND CRAFTS,1059
21,15,Friday,2899521979,1,FABRICS AND CRAFTS,1062
21,15,Friday,2898195004,2,FABRICS AND CRAFTS,514
21,15,Friday,2899521887,1,FABRICS AND CRAFTS,1057
21,15,Friday,5.01E+11,1,FABRICS AND CRAFTS,1309
21,15,Friday,2898122051,1,FABRICS AND CRAFTS,514
21,15,Friday,5.01E+11,1,FABRICS AND CRAFTS,1309
26,61,Friday,1164633541,1,HARDWARE,1101
26,61,Friday,7535314088,1,HARDWARE,5525
26,61,Friday,7535309226,5,HARDWARE,5525
26,61,Friday,36382420220,1,PHARMACY OTC,1300
26,61,Friday,7535309202,1,HARDWARE,5525
26,61,Friday,7535309202,1,HARDWARE,5525
26,61,Friday,7003030410,1,PHARMACY OTC,1101
26,61,Friday,3700000338,1,PERSONAL CARE,211
7,76,Friday,1312001036,1,FROZEN FOODS,1801
7,76,Friday,7539100261,1,SEAFOOD,1053
7,76,Friday,68113132894,1,PRODUCE,7002
7,76,Friday,3151,1,PRODUCE,7801
8,95,Friday,7790047132,1,FROZEN FOODS,1204
999,133,Friday,9933894257,-1,LADIESWEAR,1180
999,133,Friday,9933894192,1,LADIESWEAR,1180
3,153,Friday,68113107939,1,FINANCIAL SERVICES,200
3,153,Friday,60538887953,1,FINANCIAL SERVICES,285
3,188,Friday,68113152930,1,FINANCIAL SERVICES,1000
39,224,Friday,7874207792,1,HOUSEHOLD PAPER GOODS,4005
39,224,Friday,7874202400,2,HOUSEHOLD PAPER GOODS,5010
39,224,Friday,4900001463,2,DSD GROCERY,9538
39,224,Friday,6827473529,1,DSD GROCERY,2351
39,224,Friday,8768400511,1,DSD GROCERY,4624
39,224,Friday,1370020760,1,HOUSEHOLD PAPER GOODS,5020
39,224,Friday,7874208942,1,HOUSEHOLD PAPER GOODS,7010
39,224,Friday,4000034787,1,"CANDY, TOBACCO, COOKIES",36
39,224,Friday,7172001813,1,"CANDY, TOBACCO, COOKIES",39
39,224,Friday,1420008810,2,"CANDY, TOBACCO, COOKIES",39
39,224,Friday,2200011702,1,"CANDY, TOBACCO, COOKIES",39
39,224,Friday,1370083812,1,HOUSEHOLD PAPER GOODS,6020
39,224,Friday,4900003661,1,DSD GROCERY,9538
39,224,Friday,2840023824,2,DSD GROCERY,3658
8,232,Friday,8155574214,1,BEAUTY,3100
8,232,Friday,8155574213,1,BEAUTY,3100
3,265,Friday,83032400641,1,IMPULSE MERCHANDISE,1001
3,265,Friday,60538819035,1,FINANCIAL SERVICES,1000
9,324,Friday,9064956838,1,BRAS & SHAPEWEAR,4003
9,324,Friday,7874208285,1,PHARMACY OTC,253
999,333,Friday,65651449742,1,JEWELRY AND SUNGLASSES,6812
999,333,Friday,65651449742,-1,JEWELRY AND SUNGLASSES,6812
6,360,Friday,7084781116,1,DSD GROCERY,3467
6,360,Friday,2610000573,1,"CANDY, TOBACCO, COOKIES",8012
9,363,Friday,60538815739,1,SHOES,3329
3,412,Friday,60538887953,1,FINANCIAL SERVICES,285
3,412,Friday,68113107939,1,FINANCIAL SERVICES,200
20,419,Friday,60538802352,1,AUTOMOTIVE,8068
20,419,Friday,68113107867,-1,AUTOMOTIVE,6
20,419,Friday,68113107867,1,AUTOMOTIVE,6
999,437,Friday,71660511594,-1,SLEEPWEAR/FOUNDATIONS,3383
8,468,Friday,7524310116,1,DAIRY,1405
8,468,Friday,7172085000,1,"CANDY, TOBACCO, COOKIES",707
8,468,Friday,6414410236,1,DSD GROCERY,2008
44,496,Friday,88530618879,1,BOYS WEAR,1701
44,496,Friday,6898150989,1,CELEBRATION,1014
44,496,Friday,71660511591,1,SLEEPWEAR/FOUNDATIONS,3383
44,496,Friday,30067399942,1,PHARMACY OTC,3721
44,496,Friday,88530618861,1,BOYS WEAR,1701
44,496,Friday,,1,PHARMACY RX,
44,496,Friday,6700882840,1,CELEBRATION,787
44,496,Friday,1700011856,1,PERSONAL CARE,4944
44,496,Friday,1700002402,1,PERSONAL CARE,3180
44,496,Friday,7874202650,1,PERSONAL CARE,3063
42,513,Friday,4155405090,1,BEAUTY,2230
42,513,Friday,9785505670,1,ELECTRONICS,1206
42,513,Friday,5242761001,1,PAINT AND ACCESSORIES,4010
42,513,Friday,61156653748,1,JEWELRY AND SUNGLASSES,556
42,513,Friday,9769580671,1,BRAS & SHAPEWEAR,3708
42,513,Friday,61156653762,1,JEWELRY AND SUNGLASSES,556
42,513,Friday,61156653750,1,JEWELRY AND SUNGLASSES,556
42,513,Friday,88658641515,1,SLEEPWEAR/FOUNDATIONS,1298
42,513,Friday,7962507244,1,BEAUTY,5020
38,531,Friday,7874208175,1,DAIRY,1344
38,531,Friday,7080004126,1,PRE PACKED DELI,7202
38,531,Friday,7874208176,1,DAIRY,1344
38,531,Friday,7874208177,1,DAIRY,1344
39,542,Friday,3800084522,1,DSD GROCERY,3353
39,542,Friday,4400003113,2,DSD GROCERY,3717
39,542,Friday,2529300149,1,DAIRY,1511
39,542,Friday,60915998665,1,LADIESWEAR,1222
39,542,Friday,3345611314,1,DAIRY,1311
39,542,Friday,7349120100,1,DAIRY,1552
32,550,Friday,2840042049,1,IMPULSE MERCHANDISE,808
32,550,Friday,73528240084,2,INFANT CONSUMABLE HARDLINES,1009
32,550,Friday,60538807783,1,SHOES,1272
32,550,Friday,4740612583,1,INFANT CONSUMABLE HARDLINES,502
8,565,Friday,68113105242,1,PERSONAL CARE,3030
8,620,Friday,3320001130,1,GROCERY DRY GOODS,4001
8,620,Friday,7874235220,1,GROCERY DRY GOODS,4253
9,644,Friday,3800057602,1,GROCERY DRY GOODS,3555
9,644,Friday,4093,1,PRODUCE,4008
9,644,Friday,8.81E+11,1,LADIESWEAR,610
9,670,Friday,88530631604,1,MENS WEAR,1101
8,679,Friday,3500067122,1,PERSONAL CARE,801
8,679,Friday,1254600610,1,IMPULSE MERCHANDISE,135
9,734,Friday,7919123110,1,AUTOMOTIVE,103
30,741,Friday,61156657251,1,JEWELRY AND SUNGLASSES,345
30,741,Friday,61156653842,1,JEWELRY AND SUNGLASSES,554
30,741,Friday,81033802549,1,JEWELRY AND SUNGLASSES,555
30,741,Friday,71926798559,1,JEWELRY AND SUNGLASSES,561
30,741,Friday,61156657315,1,JEWELRY AND SUNGLASSES,345
30,741,Friday,61156655917,1,JEWELRY AND SUNGLASSES,345
30,741,Friday,71926797801,1,JEWELRY AND SUNGLASSES,561
30,741,Friday,7721058153,1,JEWELRY AND SUNGLASSES,6076
42,745,Friday,8.96E+11,1,BOYS WEAR,4648
42,745,Friday,4160429301,1,COOK AND DINE,2072
42,745,Friday,87186400462,1,PETS AND SUPPLIES,5010
42,745,Friday,3710003662,2,GROCERY DRY GOODS,2804
42,745,Friday,2700069086,1,GROCERY DRY GOODS,4408
36,796,Friday,8087817673,1,PERSONAL CARE,5027
36,796,Friday,30187551007,1,BEAUTY,4020
36,796,Friday,7116411115,1,PERSONAL CARE,5070
36,796,Friday,4116760352,1,PERSONAL CARE,5055
7,800,Friday,20216200000,2,MEAT - FRESH & FROZEN,6075
7,800,Friday,20265400000,1,MEAT - FRESH & FROZEN,6038
7,800,Friday,22484200000,1,MEAT - FRESH & FROZEN,6038
7,800,Friday,7874242957,1,GROCERY DRY GOODS,2151
3,818,Friday,60538802945,1,IMPULSE MERCHANDISE,1001
3,818,Friday,79936663195,1,IMPULSE MERCHANDISE,1749
25,826,Friday,73181061010,1,HOME MANAGEMENT,8124
25,826,Friday,8.81E+11,1,LADIESWEAR,313
25,826,Friday,84410600805,1,OFFICE SUPPLIES,6015
25,826,Friday,9933894244,1,LADIESWEAR,1180
5,863,Friday,2840028203,1,IMPULSE MERCHANDISE,125
5,863,Friday,2471930686,2,HORTICULTURE AND ACCESS,8047
5,863,Friday,2200001285,1,IMPULSE MERCHANDISE,135
5,863,Friday,4011,1,PRODUCE,5501
5,863,Friday,2950120110,1,LAWN AND GARDEN,2537
