TripType,DOW,UniqueItems,TotalQty,RtrnQty,NetQty,UniqDepts,OneItemDepts,RtrnDepts
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,1,1,0,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,3,0,3,2,2,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,1,0,1,1,1
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,0,2,1,0,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,1,0,4,-4,1,1,1
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,0,2,1,0,0
999,Friday,2,0,2,-2,2,2,2
999,Friday,4,2,2,0,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,3,1,2,-1,2,1,1
999,Friday,1,1,1,0,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,1,2,-1,2,2,1
999,Friday,1,1,1,0,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,2,0,2,-2,1,0,1
999,Friday,2,2,0,2,1,0,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,3,4,0,4,2,1,0
999,Friday,1,1,0,1,1,1,0
999,Friday,2,0,2,-2,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,1,1,0,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,3,0,3,-3,3,3,3
999,Friday,2,2,0,2,1,0,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,2,2,0
999,Friday,2,2,0,2,2,2,0
999,Friday,2,6,1,5,1,0,1
999,Friday,1,1,1,0,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,1,1,0,2,2,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,1,0,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,2,1,1,0,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,1,0,1,1,1
999,Friday,2,1,1,0,1,0,1
999,Friday,2,2,0,2,1,0,0
999,Friday,3,2,1,1,2,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,3,3,3,0,2,1,2
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,1,1,1,0,1
999,Friday,7,10,1,9,5,4,1
999,Friday,2,0,4,-4,2,2,2
999,Friday,5,1,10,-9,2,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,1,0,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,1,1,0,1,0,1
999,Friday,4,0,4,-4,1,0,1
999,Friday,3,4,0,4,2,1,0
999,Friday,2,6,0,6,2,2,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,2,2,0,1,1,1
999,Friday,2,1,1,0,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,0,2,1,0,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,2,2,0
999,Friday,1,1,0,1,1,1,0
999,Friday,1,1,0,1,1,1,0
999,Friday,2,1,2,-1,2,2,1
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,2,0,1,0,1
999,Friday,1,1,0,1,1,1,0
999,Friday,2,1,1,0,2,2,1
999,Friday,1,1,0,1,1,1,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,1,0,0
